1,1,746.36,159.38,33.32,77.08,0.77,-1,-1,-1
1,2,376.79,182.24,36.72,72.08,0.73,-1,-1,-1
1,3,332.56,183.88,30.61,77.10,0.70,-1,-1,-1
1,4,1025.50,137.85,32.79,69.23,0.68,-1,-1,-1
1,5,950.30,97.70,33.89,92.68,0.63,-1,-1,-1
1,6,639.08,129.67,29.80,66.09,0.59,-1,-1,-1
1,7,576.50,135.54,29.63,71.70,0.56,-1,-1,-1
1,8,977.05,123.67,34.20,74.57,0.51,-1,-1,-1
1,9,922.63,82.90,24.28,63.65,0.50,-1,-1,-1
2,1,740.24,156.08,35.21,81.85,0.72,-1,-1,-1
2,2,376.96,182.37,36.00,71.94,0.73,-1,-1,-1
2,3,332.58,183.90,30.83,77.06,0.71,-1,-1,-1
2,4,1027.20,136.81,34.22,68.58,0.72,-1,-1,-1
2,5,950.27,97.45,34.85,92.10,0.60,-1,-1,-1
2,6,638.20,129.55,31.11,66.06,0.61,-1,-1,-1
2,7,577.34,134.52,30.04,72.41,0.57,-1,-1,-1
2,8,979.55,123.91,31.21,72.35,0.58,-1,-1,-1
2,9,922.57,82.34,23.86,63.87,0.49,-1,-1,-1
3,1,736.24,157.41,34.38,82.01,0.75,-1,-1,-1
3,2,376.91,182.56,35.58,71.48,0.74,-1,-1,-1
3,3,332.77,184.01,30.72,76.88,0.70,-1,-1,-1
3,4,1029.22,136.89,34.48,68.11,0.73,-1,-1,-1
3,5,952.00,97.94,33.79,90.42,0.53,-1,-1,-1
3,6,637.30,129.56,31.95,65.91,0.58,-1,-1,-1
3,7,576.67,134.00,30.83,72.99,0.58,-1,-1,-1
3,8,984.02,121.42,29.16,73.18,0.50,-1,-1,-1
3,9,922.56,82.05,23.63,64.35,0.40,-1,-1,-1
4,1,730.50,157.19,37.10,83.35,0.80,-1,-1,-1
4,2,377.05,182.63,36.07,71.32,0.73,-1,-1,-1
4,3,333.02,183.71,31.21,77.35,0.66,-1,-1,-1
4,4,1030.68,137.08,34.17,66.48,0.81,-1,-1,-1
4,5,953.18,99.81,33.67,86.65,0.54,-1,-1,-1
4,6,637.04,129.50,32.32,66.01,0.62,-1,-1,-1
4,7,576.94,133.14,31.54,73.87,0.62,-1,-1,-1
4,8,985.06,119.82,29.80,75.39,0.57,-1,-1,-1
